,NAME,RA,DEC
0,STRIPE82-0001,0:00:00,-0:42:00
1,STRIPE82-0002,0:00:00,+00:42:00
2,STRIPE82-0003,0:05:40,-0:42:00
3,STRIPE82-0004,0:05:40,+00:42:00
4,STRIPE82-0005,0:11:20,-0:42:00
5,STRIPE82-0006,0:11:20,+00:42:00
6,STRIPE82-0007,0:17:00,-0:42:00
7,STRIPE82-0008,0:17:00,+00:42:00
8,STRIPE82-0009,0:22:41,-0:42:00
9,STRIPE82-0010,0:22:41,+00:42:00
10,STRIPE82-0011,0:28:21,-0:42:00
11,STRIPE82-0012,0:28:21,+00:42:00
12,STRIPE82-0013,0:34:01,-0:42:00
13,STRIPE82-0014,0:34:01,+00:42:00
14,STRIPE82-0015,0:39:41,-0:42:00
15,STRIPE82-0016,0:39:41,+00:42:00
16,STRIPE82-0017,0:45:21,-0:42:00
17,STRIPE82-0018,0:45:21,+00:42:00
18,STRIPE82-0019,0:51:01,-0:42:00
19,STRIPE82-0020,0:51:01,+00:42:00
20,STRIPE82-0021,0:56:42,-0:42:00
21,STRIPE82-0022,0:56:42,+00:42:00
22,STRIPE82-0023,1:02:22,-0:42:00
23,STRIPE82-0024,1:02:22,+00:42:00
24,STRIPE82-0025,1:08:02,-0:42:00
25,STRIPE82-0026,1:08:02,+00:42:00
26,STRIPE82-0027,1:13:42,-0:42:00
27,STRIPE82-0028,1:13:42,+00:42:00
28,STRIPE82-0029,1:19:22,-0:42:00
29,STRIPE82-0030,1:19:22,+00:42:00
30,STRIPE82-0031,1:25:02,-0:42:00
31,STRIPE82-0032,1:25:02,+00:42:00
32,STRIPE82-0033,1:30:43,-0:42:00
33,STRIPE82-0034,1:30:43,+00:42:00
34,STRIPE82-0035,1:36:23,-0:42:00
35,STRIPE82-0036,1:36:23,+00:42:00
36,STRIPE82-0037,1:42:03,-0:42:00
37,STRIPE82-0038,1:42:03,+00:42:00
38,STRIPE82-0039,1:47:43,-0:42:00
39,STRIPE82-0040,1:47:43,+00:42:00
40,STRIPE82-0041,1:53:23,-0:42:00
41,STRIPE82-0042,1:53:23,+00:42:00
42,STRIPE82-0043,1:59:03,-0:42:00
43,STRIPE82-0044,1:59:03,+00:42:00
44,STRIPE82-0045,2:04:43,-0:42:00
45,STRIPE82-0046,2:04:43,+00:42:00
46,STRIPE82-0047,2:10:24,-0:42:00
47,STRIPE82-0048,2:10:24,+00:42:00
48,STRIPE82-0049,2:16:04,-0:42:00
49,STRIPE82-0050,2:16:04,+00:42:00
50,STRIPE82-0051,2:21:44,-0:42:00
51,STRIPE82-0052,2:21:44,+00:42:00
52,STRIPE82-0053,2:27:24,-0:42:00
53,STRIPE82-0054,2:27:24,+00:42:00
54,STRIPE82-0055,2:33:04,-0:42:00
55,STRIPE82-0056,2:33:04,+00:42:00
56,STRIPE82-0057,2:38:44,-0:42:00
57,STRIPE82-0058,2:38:44,+00:42:00
58,STRIPE82-0059,2:44:25,-0:42:00
59,STRIPE82-0060,2:44:25,+00:42:00
60,STRIPE82-0061,2:50:05,-0:42:00
61,STRIPE82-0062,2:50:05,+00:42:00
62,STRIPE82-0063,2:55:45,-0:42:00
63,STRIPE82-0064,2:55:45,+00:42:00
64,STRIPE82-0065,3:01:25,-0:42:00
65,STRIPE82-0066,3:01:25,+00:42:00
66,STRIPE82-0067,3:07:05,-0:42:00
67,STRIPE82-0068,3:07:05,+00:42:00
68,STRIPE82-0069,3:12:45,-0:42:00
69,STRIPE82-0070,3:12:45,+00:42:00
70,STRIPE82-0071,3:18:26,-0:42:00
71,STRIPE82-0072,3:18:26,+00:42:00
72,STRIPE82-0073,3:24:06,-0:42:00
73,STRIPE82-0074,3:24:06,+00:42:00
74,STRIPE82-0075,3:29:46,-0:42:00
75,STRIPE82-0076,3:29:46,+00:42:00
76,STRIPE82-0077,3:35:26,-0:42:00
