Field,RA,DEC
HYDRA-0011,150.77,-23.91
HYDRA-0012,152.31,-23.91
HYDRA-0013,153.85,-23.91
HYDRA-0014,155.38,-23.91
HYDRA-0015,156.93,-23.91
HYDRA-0016,158.46,-23.91
HYDRA-0017,160.00,-23.91
HYDRA-0018,161.54,-23.91
HYDRA-0019,163.08,-23.91
HYDRA-0020,164.62,-23.91
HYDRA-0021,151.17,-25.30
HYDRA-0022,152.73,-25.30
HYDRA-0023,154.29,-25.30
HYDRA-0024,155.85,-25.30
HYDRA-0025,157.40,-25.30
HYDRA-0026,158.96,-25.30
HYDRA-0027,160.52,-25.30
HYDRA-0028,162.08,-25.30
HYDRA-0029,163.64,-25.30
HYDRA-0030,150.00,-26.69
HYDRA-0031,151.58,-26.69
HYDRA-0032,153.16,-26.69
HYDRA-0033,154.74,-26.69
HYDRA-0034,156.32,-26.69
HYDRA-0035,157.90,-26.69
HYDRA-0036,159.48,-26.69
HYDRA-0037,161.05,-26.69
HYDRA-0038,162.63,-26.69
HYDRA-0039,164.21,-26.69
HYDRA-0040,151.33,-28.08
HYDRA-0041,152.92,-28.08
HYDRA-0042,154.51,-28.08
HYDRA-0043,156.10,-28.08
HYDRA-0044,157.70,-28.08
HYDRA-0045,159.29,-28.08
HYDRA-0046,160.88,-28.08
HYDRA-0047,162.48,-28.08
HYDRA-0048,164.07,-28.08
HYDRA-0049,150.13,-29.46
HYDRA-0050,151.75,-29.46
HYDRA-0051,153.36,-29.46
HYDRA-0052,154.98,-29.46
HYDRA-0053,156.59,-29.46
HYDRA-0054,158.21,-29.46
HYDRA-0055,159.82,-29.46
HYDRA-0056,161.43,-29.46
HYDRA-0057,163.05,-29.46
HYDRA-0058,164.66,-29.46
HYDRA-0059,150.55,-30.85
HYDRA-0060,152.18,-30.85
HYDRA-0061,153.82,-30.85
HYDRA-0062,155.45,-30.85
HYDRA-0063,157.09,-30.85
HYDRA-0064,158.73,-30.85
HYDRA-0065,160.36,-30.85
HYDRA-0066,162.00,-30.85
HYDRA-0067,163.64,-30.85
HYDRA-0068,150.97,-32.23
HYDRA-0069,152.63,-32.23
HYDRA-0070,154.29,-32.23
HYDRA-0071,155.95,-32.23
HYDRA-0072,157.60,-32.23
HYDRA-0073,159.26,-32.23
HYDRA-0074,160.92,-32.23
HYDRA-0075,162.58,-32.23
HYDRA-0076,164.24,-32.23
HYDRA-0077,150.42,-33.61
HYDRA-0078,152.11,-33.61
HYDRA-0079,153.80,-33.61
HYDRA-0080,155.49,-33.61
HYDRA-0081,157.18,-33.61
HYDRA-0082,158.88,-33.61
HYDRA-0083,160.56,-33.61
HYDRA-0084,162.25,-33.61
HYDRA-0085,163.94,-33.61
HYDRA-0086,150.86,-34.99
HYDRA-0087,152.57,-34.99
HYDRA-0088,154.29,-34.99
HYDRA-0089,156.00,-34.99
HYDRA-0091,159.43,-34.99
HYDRA-0092,161.14,-34.99
HYDRA-0093,162.86,-34.99
HYDRA-0094,164.57,-34.99
HYDRA-0095,151.30,-36.36
HYDRA-0096,153.04,-36.36
HYDRA-0097,154.78,-36.36
HYDRA-0098,156.52,-36.36
HYDRA-0099,158.26,-36.36
HYDRA-0100,160.00,-36.36
HYDRA-0101,161.74,-36.36
HYDRA-0102,163.48,-36.36
HYDRA-0103,150.74,-37.74
HYDRA-0104,152.51,-37.74
HYDRA-0105,154.29,-37.74
HYDRA-0106,156.06,-37.74
HYDRA-0107,157.83,-37.74
HYDRA-0108,159.60,-37.74
HYDRA-0109,161.38,-37.74
HYDRA-0110,163.15,-37.74
HYDRA-0111,164.93,-37.74
HYDRA-0112,150.15,-39.11
HYDRA-0113,151.96,-39.11
HYDRA-0114,153.77,-39.11
HYDRA-0115,155.58,-39.11
HYDRA-0116,157.39,-39.11
HYDRA-0117,159.20,-39.11
HYDRA-0118,161.00,-39.11
HYDRA-0119,162.81,-39.11
HYDRA-0120,164.63,-39.11
HYDRA-0121,151.38,-40.48
HYDRA-0122,153.23,-40.48
HYDRA-0123,155.08,-40.48
HYDRA-0124,156.93,-40.48
HYDRA-0125,158.77,-40.48
HYDRA-0126,160.62,-40.48
HYDRA-0127,162.46,-40.48
HYDRA-0128,164.31,-40.48
HYDRA-0129,150.78,-41.84
HYDRA-0130,152.67,-41.84
HYDRA-0131,154.55,-41.84
HYDRA-0132,156.44,-41.84
HYDRA-0133,158.33,-41.84
HYDRA-0134,160.21,-41.84
HYDRA-0135,162.10,-41.84
HYDRA-0136,163.98,-41.84
HYDRA-0137,150.16,-43.21
HYDRA-0138,152.09,-43.21
HYDRA-0139,154.01,-43.21
HYDRA-0140,155.94,-43.21
HYDRA-0141,157.86,-43.21
HYDRA-0142,159.79,-43.21
HYDRA-0143,161.71,-43.21
HYDRA-0144,163.64,-43.21
HYDRA-0145,151.48,-44.57
HYDRA-0146,153.44,-44.57
HYDRA-0147,155.41,-44.57
HYDRA-0148,157.38,-44.57
HYDRA-0149,159.35,-44.57
HYDRA-0150,161.31,-44.57
HYDRA-0151,163.28,-44.57
HYDRA-0152,150.84,-45.93
HYDRA-0153,152.85,-45.93
HYDRA-0154,154.86,-45.93
HYDRA-0155,156.87,-45.93
HYDRA-0156,158.88,-45.93
HYDRA-0157,160.90,-45.93
HYDRA-0158,162.90,-45.93
HYDRA-0159,164.92,-45.93
HYDRA-0160,150.17,-47.28
HYDRA-0161,152.23,-47.28
HYDRA-0162,154.29,-47.28
HYDRA-0163,156.34,-47.28
HYDRA-0164,158.40,-47.28
HYDRA-0165,160.46,-47.28
HYDRA-0166,162.51,-47.28
HYDRA-0167,164.57,-47.28
HYDRA-D-0001,158.35,-34.64
HYDRA-D-0002,156.68,-34.63
HYDRA-D-0003,158.37,-36.01
HYDRA-D-0004,156.67,-36.01
MC0001,67.69,-63.27
MC0002,70.77,-63.27
MC0003,73.85,-63.27
MC0004,76.93,-63.27
MC0005,80.00,-63.27
MC0006,83.08,-63.27
MC0007,86.15,-63.27
MC0008,89.23,-63.27
MC0009,92.31,-63.27
MC0010,95.38,-63.27
MC0011,67.50,-64.57
MC0012,70.71,-64.57
MC0013,73.93,-64.57
MC0014,77.14,-64.57
MC0015,80.36,-64.57
MC0016,83.57,-64.57
MC0017,86.79,-64.57
MC0018,90.00,-64.57
MC0019,93.21,-64.57
MC0020,96.43,-64.57
MC0021,70.65,-65.86
MC0022,74.02,-65.86
MC0023,77.38,-65.86
MC0024,80.75,-65.86
MC0025,84.11,-65.86
MC0026,87.48,-65.86
MC0027,90.84,-65.86
MC0028,94.20,-65.86
MC0029,70.59,-67.15
MC0030,74.12,-67.15
MC0031,77.65,-67.15
MC0032,81.18,-67.15
MC0033,84.70,-67.15
MC0034,88.23,-67.15
MC0035,91.77,-67.15
MC0036,95.30,-67.15
MC0037,70.52,-68.43
MC0038,74.23,-68.43
MC0039,77.94,-68.43
MC0040,81.65,-68.43
MC0041,85.36,-68.43
MC0042,89.07,-68.43
MC0043,92.78,-68.43
MC0044,96.50,-68.43
MC0045,3.95,-69.71
MC0046,7.91,-69.71
MC0047,11.87,-69.71
MC0048,15.83,-69.71
MC0049,19.78,-69.71
MC0050,23.74,-69.71
MC0051,27.69,-69.71
MC0052,31.65,-69.71
MC0053,35.60,-69.71
MC0054,39.56,-69.71
MC0055,43.52,-69.71
MC0056,47.47,-69.71
MC0057,51.43,-69.71
MC0058,55.38,-69.71
MC0059,59.34,-69.71
MC0060,63.30,-69.71
MC0061,67.25,-69.71
MC0062,71.21,-69.71
MC0063,75.17,-69.71
MC0064,79.12,-69.71
MC0065,83.08,-69.71
